drug_normalized,diseaseId,diseaseName,mechanism_score,safety_penalty,trial_penalty,phenotype_boost,final_score
10 x 10^6 cells,EFO_0000403,diffuse large B-cell lymphoma,7.157314212554268,0.0,0.0,0,7.1573
10 x 10^6 cells,EFO_0000729,ulcerative colitis,7.153316892811044,0.0,0.0,0,7.1533
10 x 10^6 cells,EFO_0000544,infection,7.130428612485296,0.0,0.0,0,7.1304
10 x 10^6 cells,MONDO_0018088,familial Mediterranean fever,7.12323113948202,0.0,0.0,0,7.1232
10 x 10^6 cells,MONDO_0008170,ovarian cancer,7.047316304663706,0.0,0.0,0,7.0473
10 x 10^6 cells,EFO_0000673,prostate adenocarcinoma,6.9329859804878495,0.0,0.0,0,6.933
10 x 10^6 cells,EFO_0005952,non-Hodgkins lymphoma,6.870164616805525,0.0,0.0,0,6.8702
10 x 10^6 cells,MONDO_0007990,multiple benign circumferential skin creases on limbs,6.828316872483039,0.0,0.0,0,6.8283
10 x 10^6 cells,EFO_0007160,autoimmune thrombocytopenic purpura,6.823460230742159,0.0,0.0,0,6.8235
10 x 10^6 cells,EFO_0006859,head and neck malignant neoplasia,6.8045620123451025,0.0,0.0,0,6.8046
10 x 10^6 cells,MONDO_0011517,pseudohyperaldosteronism type 2,6.793783841801844,0.0,0.0,0,6.7938
alirocumab,EFO_0004911,familial hypercholesterolemia,2.9058569262750287,1.0,0.0,0,2.0341
alirocumab,MONDO_0011369,"hypercholesterolemia, autosomal dominant, 3",2.70586465886561,1.0,0.0,0,1.8941
alirocumab,HP_0003124,Hypercholesterolemia,2.6539123081398346,1.0,0.0,0,1.8577
alirocumab,EFO_0001645,coronary artery disease,2.503624314117451,1.0,0.0,0,1.7525
alirocumab,EFO_0000319,cardiovascular disease,2.4722584043751024,1.0,0.0,0,1.7306
alirocumab,EFO_0000589,metabolic disease,2.3055488757387117,1.0,0.0,0,1.6139
alirocumab,Orphanet_309005,Disorder of lipid metabolism,2.2170512532759004,1.0,0.0,0,1.5519
alirocumab,MONDO_0018328,homozygous familial hypercholesterolemia,2.206284704788466,1.0,0.0,0,1.5444
alirocumab,MONDO_0021187,hyperlipidemia,2.203136859660998,1.0,0.0,0,1.5422
alirocumab,EFO_0000612,myocardial infarction,2.1383678544611064,1.0,0.0,0,1.4969
alirocumab,EFO_0003914,atherosclerosis,2.11003330899773,1.0,0.0,0,1.477
alirocumab,EFO_1001375,Myocardial Ischemia,1.8796123064811092,1.0,0.0,0,1.3157
alirocumab,MONDO_0007750,"hypercholesterolemia, familial, 1",1.7836214902334102,1.0,0.0,0,1.2485
alirocumab,HP_0003077,Hyperlipidemia,1.773337140058782,1.0,0.0,0,1.2413
alirocumab,MONDO_0021661,coronary atherosclerosis,1.763336321760802,1.0,0.0,0,1.2343
alirocumab,MONDO_0001336,familial hyperlipidemia,1.7621089943612105,1.0,0.0,0,1.2335
alirocumab,EFO_0003913,angina pectoris,1.733713012728092,1.0,0.0,0,1.2136
alirocumab,EFO_0003777,heart disease,1.720350777630642,1.0,0.0,0,1.2042
alirocumab,GO_0036273,response to statin,1.6929627454314395,1.0,0.0,0,1.1851
alirocumab,EFO_0000195,metabolic syndrome,1.6508188367808607,1.0,0.0,0,1.1556
alirocumab,HP_0001626,Abnormality of the cardiovascular system,1.544989115822175,1.0,0.0,0,1.0815
alirocumab,HP_0003146,Hypocholesterolemia,1.519787603332834,1.0,0.0,0,1.0639
alirocumab,MONDO_0009387,familial lipoprotein lipase deficiency,1.477404180953503,1.0,0.0,0,1.0342
alirocumab,HP_0003119,Abnormal circulating lipid concentration,1.4715700044219706,1.0,0.0,0,1.0301
alirocumab,EFO_0000400,diabetes mellitus,1.4497025252387634,1.0,0.0,0,1.0148
alirocumab,EFO_0004214,Abdominal Aortic Aneurysm,1.4288552428438437,1.0,0.0,0,1.0002
alirocumab,MONDO_0008692,abetalipoproteinemia,1.3915521393970829,1.0,0.0,0,0.9741
alirocumab,MONDO_0013144,hereditary antithrombin deficiency,1.3529384233905548,1.0,0.0,0,0.9471
alirocumab,HP_0001976,Reduced antithrombin III activity,1.259039852698564,1.0,0.0,0,0.8813
alirocumab,EFO_0000712,stroke,1.2359095786396606,1.0,0.0,0,0.8651
alirocumab,EFO_0004286,venous thromboembolism,1.2276020375212808,1.0,0.0,0,0.8593
alirocumab,EFO_0000275,atrial fibrillation,1.2246559981045952,1.0,0.0,0,0.8573
alirocumab,EFO_1000985,intermediate coronary syndrome,1.2118467948374598,1.0,0.0,0,0.8483
alirocumab,EFO_0008583,acute myocardial infarction,1.2064338630397655,1.0,0.0,0,0.8445
alirocumab,EFO_0004264,vascular disease,1.195063853700586,1.0,0.0,0,0.8365
alirocumab,EFO_0005672,acute coronary syndrome,1.1946395370223528,1.0,0.0,0,0.8362
alirocumab,EFO_0003144,heart failure,1.1943910450436237,1.0,0.0,0,0.8361
alirocumab,HP_0011428,Short fetal femur length,1.187066470233723,1.0,0.0,0,0.8309
alirocumab,MONDO_0016085,Cole-Carpenter syndrome,1.1861271155659427,1.0,0.0,0,0.8303
alirocumab,HP_0004936,Venous thrombosis,1.160990275789953,1.0,0.0,0,0.8127
alirocumab,EFO_0004329,alcohol drinking,1.153512135309475,1.0,0.0,0,0.8075
alirocumab,MONDO_0100096,COVID-19,1.1527810225729451,1.0,0.0,0,0.8069
alirocumab,Orphanet_79211,Combined hyperlipidemia,1.1360479736028382,1.0,0.0,0,0.7952
alirocumab,EFO_0003776,coronary artery bypass,1.1279602973638454,1.0,0.0,0,0.7896
alirocumab,EFO_0003940,physical activity,1.1225894210654916,1.0,0.0,0,0.7858
alirocumab,EFO_0003951,percutaneous transluminal coronary angioplasty,1.1225894210654916,1.0,0.0,0,0.7858
alirocumab,EFO_0003907,deep vein thrombosis,1.101982647890135,1.0,0.0,0,0.7714
alirocumab,EFO_0003884,chronic kidney disease,1.0458297478468073,1.0,0.0,0,0.7321
alirocumab,EFO_0003086,kidney disease,1.0396200487798937,1.0,0.0,0,0.7277
alirocumab,EFO_0009578,placental retention,0.9852322328973993,1.0,0.0,0,0.6897
angiotensin 1-7,EFO_0000537,hypertension,1.2395972200813008,0.0,0.0,0,1.2396
angiotensin 1-7,MONDO_0017609,renal tubular dysgenesis,1.2017511378334431,0.0,0.0,0,1.2018
angiotensin 1-7,EFO_0010702,opioid use disorder,1.1564263384674014,0.0,0.0,0,1.1564
angiotensin 1-7,HP_0012531,Pain,1.1530053375354918,0.0,0.0,0,1.153
angiotensin 1-7,MONDO_0009970,renal tubular dysgenesis of genetic origin,1.1507575486671622,0.0,0.0,0,1.1508
angiotensin 1-7,EFO_0005611,opioid dependence,1.094739056230181,0.0,0.0,0,1.0947
angiotensin 1-7,MONDO_0004992,cancer,1.0751945324232943,0.0,0.0,0,1.0752
angiotensin 1-7,EFO_0003086,kidney disease,1.033572998362213,0.0,0.0,0,1.0336
angiotensin 1-7,EFO_0003144,heart failure,1.0301239404233142,0.0,0.0,0,1.0301
angiotensin 1-7,EFO_0000612,myocardial infarction,1.0285670821790962,0.0,0.0,0,1.0286
angiotensin 1-7,MONDO_0007781,"essential hypertension, genetic",1.0249852458218305,0.0,0.0,0,1.025
angiotensin 1-7,MONDO_0001134,essential hypertension,1.0165304035440093,0.0,0.0,0,1.0165
angiotensin 1-7,EFO_0000712,stroke,1.0083208171532043,0.0,0.0,0,1.0083
angiotensin 1-7,MONDO_0007079,alcohol dependence,0.977364438339319,0.0,0.0,0,0.9774
angiotensin 1-7,EFO_0003890,drug dependence,0.9730996295634804,0.0,0.0,0,0.9731
angiotensin 1-7,EFO_0003884,chronic kidney disease,0.969947251542562,0.0,0.0,0,0.9699
angiotensin 1-7,HP_0012532,Chronic pain,0.9670198403404134,0.0,0.0,0,0.967
angiotensin 1-7,HP_0002014,Diarrhea,0.957762425825498,0.0,0.0,0,0.9578
angiotensin 1-7,HP_0002019,Constipation,0.9577162630870492,0.0,0.0,0,0.9577
angiotensin 1-7,EFO_0005762,neuropathic pain,0.9558657413264998,0.0,0.0,0,0.9559
angiotensin 1-7,EFO_0000373,congestive heart failure,0.952628643950579,0.0,0.0,0,0.9526
angiotensin 1-7,EFO_0000400,diabetes mellitus,0.9493805703908492,0.0,0.0,0,0.9494
angiotensin 1-7,EFO_0000401,diabetic nephropathy,0.9401290468381912,0.0,0.0,0,0.9401
angiotensin 1-7,EFO_0000319,cardiovascular disease,0.9388335421513864,0.0,0.0,0,0.9388
angiotensin 1-7,MONDO_0005148,type 2 diabetes mellitus,0.9286793538791056,0.0,0.0,0,0.9287
angiotensin 1-7,HP_0000093,Proteinuria,0.8933641730110159,0.0,0.0,0,0.8934
angiotensin 1-7,EFO_0000555,irritable bowel syndrome,0.8854999633290198,0.0,0.0,0,0.8855
angiotensin 1-7,EFO_0022041,response to tramadol,0.8702858609788808,0.0,0.0,0,0.8703
angiotensin 1-7,EFO_0004194,IGA glomerulonephritis,0.8569205827605783,0.0,0.0,0,0.8569
angiotensin 1-7,EFO_0003913,angina pectoris,0.8428621585049674,0.0,0.0,0,0.8429
angiotensin 1-7,EFO_0801084,cancer pain,0.8361507964361243,0.0,0.0,0,0.8362
angiotensin 1-7,EFO_0006834,septic shock,0.8246250926988299,0.0,0.0,0,0.8246
angiotensin 1-7,HP_0000924,Abnormality of the skeletal system,0.7957100370794491,0.0,0.0,0,0.7957
angiotensin 1-7,MONDO_0005277,migraine disorder,0.7710769998462864,0.0,0.0,0,0.7711
angiotensin 1-7,HP_0012735,Cough,0.7499938281425708,0.0,0.0,0,0.75
angiotensin 1-7,EFO_0020911,overdose,0.7379800941342481,0.0,0.0,0,0.738
angiotensin 1-7,MONDO_0002203,constipation disorder,0.7357850022109853,0.0,0.0,0,0.7358
angiotensin 1-7,MONDO_0002046,alcohol abuse,0.7157685198377711,0.0,0.0,0,0.7158
angiotensin 1-7,EFO_0000616,neoplasm,0.6830072958106693,0.0,0.0,0,0.683
angiotensin 1-7,MONDO_0100096,COVID-19,0.6827527373882668,0.0,0.0,0,0.6828
angiotensin 1-7,EFO_0000764,HIV infection,0.6793061242535315,0.0,0.0,0,0.6793
angiotensin 1-7,HP_0003419,Low back pain,0.6714028561558373,0.0,0.0,0,0.6714
angiotensin 1-7,EFO_0004329,alcohol drinking,0.6651998118496882,0.0,0.0,0,0.6652
angiotensin 1-7,MONDO_0005178,osteoarthritis,0.6613920621675271,0.0,0.0,0,0.6614
angiotensin 1-7,EFO_0004240,heroin dependence,0.6574852210374056,0.0,0.0,0,0.6575
angiotensin 1-7,MONDO_0005090,schizophrenia,0.6550124451870637,0.0,0.0,0,0.655
angiotensin 1-7,EFO_0000275,atrial fibrillation,0.6474839847469869,0.0,0.0,0,0.6475
angiotensin 1-7,MONDO_0004567,ileus,0.6455685827072316,0.0,0.0,0,0.6456
angiotensin 1-7,EFO_0004616,"osteoarthritis, knee",0.645324668031237,0.0,0.0,0,0.6453
angiotensin 1-7,HP_0003418,Back pain,0.6395386168075152,0.0,0.0,0,0.6395
aspirin,EFO_0000729,ulcerative colitis,6.720469093450703,1.0,0.0,0,4.7043
aspirin,MONDO_0005277,migraine disorder,6.711668805233021,1.0,0.0,0,4.6982
aspirin,EFO_0004274,gout,6.681922972942671,1.0,0.0,0,4.6773
aspirin,MP_0001914,hemorrhage,6.677234004794785,1.0,0.0,0,4.6741
aspirin,MONDO_0005178,osteoarthritis,6.642928340406933,1.0,0.0,0,4.65
aspirin,EFO_0001645,coronary artery disease,6.58665522813714,1.0,0.0,0,4.6107
aspirin,HP_0012531,Pain,6.584407103789333,1.0,0.0,0,4.6091
aspirin,EFO_0000685,rheumatoid arthritis,6.539518023614357,1.0,0.0,0,4.5777
aspirin,HP_0002315,Headache,6.512944258594928,1.0,0.0,0,4.5591
aspirin,HP_0001945,Fever,6.49574158242965,1.0,0.0,0,4.547
aspirin,EFO_0002609,juvenile idiopathic arthritis,6.487623421804666,1.0,0.0,0,4.5413
aspirin,HP_0100607,Dysmenorrhea,6.475457846133503,1.0,0.0,0,4.5328
aspirin,EFO_0003898,ankylosing spondylitis,6.456511036812518,1.0,0.0,0,4.5196
aspirin,HP_0001643,Patent ductus arteriosus,6.420848690605366,1.0,0.0,0,4.4946
aspirin,MONDO_0002258,pharyngitis,6.416113194466542,1.0,0.0,0,4.4913
aspirin,EFO_0000712,stroke,6.410643201606182,1.0,0.0,0,4.4875
aspirin,EFO_0007214,common cold,6.401763788848964,1.0,0.0,0,4.4812
aspirin,EFO_0005755,rheumatic disease,6.387309607435615,1.0,0.0,0,4.4711
aspirin,EFO_0010072,toothache,6.382845164859952,1.0,0.0,0,4.468
aspirin,HP_0003418,Back pain,6.371341452010584,1.0,0.0,0,4.4599
aspirin,MP_0001845,inflammation,6.351956424758907,1.0,0.0,0,4.4464
aspirin,MONDO_0005129,cataract,6.3183371807236846,1.0,0.0,0,4.4228
aspirin,EFO_0005856,arthritis,6.297793354541399,1.0,0.0,0,4.4085
aspirin,EFO_0000612,myocardial infarction,6.255979842231969,1.0,0.0,0,4.3792
aspirin,HP_0003326,Myalgia,6.245505300770125,1.0,0.0,0,4.3719
aspirin,MONDO_0003937,spondylitis,6.225628940647523,1.0,0.0,0,4.3579
aspirin,HP_0002829,Arthralgia,6.224500188582215,1.0,0.0,0,4.3572
aspirin,EFO_0009846,muscle cramp,6.221710510054445,1.0,0.0,0,4.3552
aspirin,EFO_0007328,influenza,6.1660979963537175,1.0,0.0,0,4.3163
aspirin,EFO_0009582,sprain,6.137527841707515,1.0,0.0,0,4.2963
aspirin,EFO_0002496,actinic keratosis,6.125657977586125,1.0,0.0,0,4.288
aspirin,EFO_0005752,eye inflammation,5.985097297702477,1.0,0.0,0,4.1896
aspirin,EFO_0000319,cardiovascular disease,5.929424228770532,1.0,0.0,0,4.1506
aspirin,HP_0002018,Nausea,5.921738854494638,1.0,0.0,0,4.1452
aspirin,HP_0002014,Diarrhea,5.920705434483268,1.0,0.0,0,4.1445
aspirin,MONDO_0002471,bursitis,5.913541512728093,1.0,0.0,0,4.1395
aspirin,EFO_0009454,gastric ulcer,5.845281501255728,1.0,0.0,0,4.0917
aspirin,HP_0200026,Ocular pain,5.843903848398338,1.0,0.0,0,4.0907
aspirin,Orphanet_733,Familial adenomatous polyposis,5.736237970658315,1.0,0.0,0,4.0154
aspirin,MONDO_0004857,tendinitis,5.726394647047349,1.0,0.0,0,4.0085
aspirin,EFO_0005628,proctitis,5.717917597207352,1.0,0.0,0,4.0025
aspirin,MONDO_0000831,thrombotic disease,5.559765537815707,1.0,0.0,0,3.8918
aspirin,EFO_0004253,nephrolithiasis,5.50880887662027,1.0,0.0,0,3.8562
aspirin,HP_0004398,Peptic ulcer,5.36552908176904,1.0,0.0,0,3.7559
aspirin,EFO_0005757,vaginal inflammation,5.333419418355719,1.0,0.0,0,3.7334
aspirin,EFO_0009364,non-allergic rhinitis,5.333419418355719,1.0,0.0,0,3.7334
aspirin,EFO_0004607,duodenal ulcer,5.087248807313153,1.0,0.0,0,3.5611
aspirin,EFO_0004142,colorectal neoplasm,5.070653229082636,1.0,0.0,0,3.5495
aspirin,EFO_0008583,acute myocardial infarction,5.018846470885212,1.0,0.0,0,3.5132
aspirin,HP_0004419,Recurrent thrombophlebitis,4.8980382413470895,1.0,0.0,0,3.4286
aspirin + ticagrelor,MONDO_0012354,platelet-type bleeding disorder 8,1.7194684294023383,0.0,0.0,0,1.7195
aspirin + ticagrelor,Orphanet_36355,P2Y12 defect,1.6023435254816034,0.0,0.0,0,1.6023
aspirin + ticagrelor,EFO_0000612,myocardial infarction,1.499999502316808,0.0,0.0,0,1.5
aspirin + ticagrelor,EFO_0001645,coronary artery disease,1.488104565294434,0.0,0.0,0,1.4881
aspirin + ticagrelor,EFO_0005672,acute coronary syndrome,1.4597556147353623,0.0,0.0,0,1.4598
aspirin + ticagrelor,EFO_0008583,acute myocardial infarction,1.425978263976451,0.0,0.0,0,1.426
aspirin + ticagrelor,EFO_0000712,stroke,1.4160623664361789,0.0,0.0,0,1.4161
aspirin + ticagrelor,EFO_0004265,peripheral arterial disease,1.3431350978152992,0.0,0.0,0,1.3431
aspirin + ticagrelor,HP_0004419,Recurrent thrombophlebitis,1.32206549944891,0.0,0.0,0,1.3221
aspirin + ticagrelor,MONDO_0000831,thrombotic disease,1.2950060458128914,0.0,0.0,0,1.295
aspirin + ticagrelor,MONDO_0030030,Nizon-Isidor syndrome,1.1834680998443794,0.0,0.0,0,1.1835
aspirin + ticagrelor,EFO_0000556,ischemia,1.1313115877073967,0.0,0.0,0,1.1313
aspirin + ticagrelor,EFO_0000508,genetic disorder,1.1214267344520552,0.0,0.0,0,1.1214
aspirin + ticagrelor,MP_0001914,hemorrhage,1.1131936560117404,0.0,0.0,0,1.1132
aspirin + ticagrelor,MONDO_0005148,type 2 diabetes mellitus,1.0950218999031285,0.0,0.0,0,1.095
aspirin + ticagrelor,HP_0001249,Intellectual disability,1.011550814273387,0.0,0.0,0,1.0116
aspirin + ticagrelor,HP_0002140,Ischemic stroke,1.00522261735663,0.0,0.0,0,1.0052
aspirin + ticagrelor,EFO_0000275,atrial fibrillation,0.9940877376684802,0.0,0.0,0,0.9941
aspirin + ticagrelor,EFO_0003884,chronic kidney disease,0.9830770900901408,0.0,0.0,0,0.9831
aspirin + ticagrelor,HP_0001873,Thrombocytopenia,0.95948865206519,0.0,0.0,0,0.9595
aspirin + ticagrelor,MONDO_0100096,COVID-19,0.9570458391205484,0.0,0.0,0,0.957
aspirin + ticagrelor,HP_0001892,Abnormal bleeding,0.953577362865437,0.0,0.0,0,0.9536
aspirin + ticagrelor,EFO_0008585,ST Elevation Myocardial Infarction,0.9500770150638485,0.0,0.0,0,0.9501
aspirin + ticagrelor,EFO_0003875,peripheral vascular disease,0.9354034733108256,0.0,0.0,0,0.9354
aspirin + ticagrelor,EFO_1000985,intermediate coronary syndrome,0.8829420026531825,0.0,0.0,0,0.8829
aspirin + ticagrelor,EFO_0000266,aortic stenosis,0.8820835868172695,0.0,0.0,0,0.8821
aspirin + ticagrelor,MONDO_0011382,sickle cell disease,0.8695766833086198,0.0,0.0,0,0.8696
aspirin + ticagrelor,EFO_0007328,influenza,0.8598431686956941,0.0,0.0,0,0.8598
aspirin + ticagrelor,EFO_0003106,pneumonia,0.8522842942277244,0.0,0.0,0,0.8523
aspirin + ticagrelor,EFO_0003914,atherosclerosis,0.841839671704794,0.0,0.0,0,0.8418
aspirin + ticagrelor,EFO_0000341,chronic obstructive pulmonary disease,0.839281695698565,0.0,0.0,0,0.8393
aspirin + ticagrelor,EFO_0002615,internal carotid artery stenosis,0.8092163454316417,0.0,0.0,0,0.8092
aspirin + ticagrelor,MONDO_0024327,chronic renal failure syndrome,0.7823847190176809,0.0,0.0,0,0.7824
aspirin + ticagrelor,EFO_0003870,brain aneurysm,0.7816444113397121,0.0,0.0,0,0.7816
aspirin + ticagrelor,HP_0002239,Gastrointestinal hemorrhage,0.7725742523215346,0.0,0.0,0,0.7726
aspirin + ticagrelor,HP_0030680,Abnormal cardiovascular system morphology,0.7725742523215346,0.0,0.0,0,0.7726
aspirin + ticagrelor,EFO_0003913,angina pectoris,0.7481169656613191,0.0,0.0,0,0.7481
aspirin + ticagrelor,HP_0004866,Impaired ADP-induced platelet aggregation,0.7377470955502146,0.0,0.0,0,0.7377
aspirin + ticagrelor,EFO_0002618,pancreatic carcinoma,0.7166733156564862,0.0,0.0,0,0.7167
aspirin + ticagrelor,EFO_0003764,transient ischemic attack,0.7021465675503611,0.0,0.0,0,0.7021
aspirin + ticagrelor,GO_0070527,platelet aggregation,0.6793012402079219,0.0,0.0,0,0.6793
aspirin + ticagrelor,MONDO_0004992,cancer,0.657005707677732,0.0,0.0,0,0.657
aspirin + ticagrelor,EFO_0009959,diverticular disease,0.6511849190966823,0.0,0.0,0,0.6512
aspirin + ticagrelor,EFO_0003144,heart failure,0.6361434177182461,0.0,0.0,0,0.6361
aspirin + ticagrelor,HP_0011869,Abnormal platelet function,0.6357182419102911,0.0,0.0,0,0.6357
aspirin + ticagrelor,EFO_0009086,arteriosclerosis,0.6303085518272392,0.0,0.0,0,0.6303
aspirin + ticagrelor,EFO_0001365,age-related macular degeneration,0.6294093955478851,0.0,0.0,0,0.6294
aspirin + ticagrelor,EFO_0020925,angina unstable,0.6278642200270136,0.0,0.0,0,0.6279
aspirin + ticagrelor,EFO_1001375,Myocardial Ischemia,0.6267197521198498,0.0,0.0,0,0.6267
aspirin + ticagrelor,EFO_1000044,pancreatic adenocarcinoma,0.6251229378784529,0.0,0.0,0,0.6251
atenolol,EFO_0000537,hypertension,1.744427605531155,1.0,0.0,0,1.2211
atenolol,EFO_0000319,cardiovascular disease,1.6969473135783075,1.0,0.0,0,1.1879
atenolol,EFO_0000712,stroke,1.4546209952027782,1.0,0.0,0,1.0182
atenolol,EFO_0003913,angina pectoris,1.4228032756528322,1.0,0.0,0,0.996
atenolol,MONDO_0004979,asthma,1.414901379019638,1.0,0.0,0,0.9904
atenolol,EFO_0000612,myocardial infarction,1.3766000614618483,1.0,0.0,0,0.9636
atenolol,EFO_0003144,heart failure,1.3493245953774002,1.0,0.0,0,0.9445
atenolol,MONDO_0005041,glaucoma,1.3310610788556705,1.0,0.0,0,0.9317
atenolol,MONDO_0005277,migraine disorder,1.3233297352861153,1.0,0.0,0,0.9263
atenolol,EFO_0001645,coronary artery disease,1.3014675617462002,1.0,0.0,0,0.911
atenolol,MONDO_0001134,essential hypertension,1.2977909698563912,1.0,0.0,0,0.9085
atenolol,EFO_0004190,open-angle glaucoma,1.292528560885883,1.0,0.0,0,0.9048
atenolol,HP_0012531,Pain,1.287155465291934,1.0,0.0,0,0.901
atenolol,EFO_0000373,congestive heart failure,1.2743866020227976,1.0,0.0,0,0.8921
atenolol,HP_0100806,Sepsis,1.2696598295568553,1.0,0.0,0,0.8888
atenolol,HP_0006536,Airway obstruction,1.2498070058370807,1.0,0.0,0,0.8749
atenolol,HP_0004308,Ventricular arrhythmia,1.226512204235,1.0,0.0,0,0.8586
atenolol,EFO_1001069,ocular hypertension,1.2105772449750505,1.0,0.0,0,0.8474
atenolol,EFO_0000275,atrial fibrillation,1.2091584877237636,1.0,0.0,0,0.8464
atenolol,EFO_0006834,septic shock,1.208275851425742,1.0,0.0,0,0.8458
atenolol,EFO_0007486,sinusitis,1.1996115709452,1.0,0.0,0,0.8397
atenolol,EFO_0004278,sudden cardiac arrest,1.1857381005850631,1.0,0.0,0,0.83
atenolol,MONDO_0005271,allergic disease,1.175789089747041,1.0,0.0,0,0.8231
atenolol,EFO_0005251,hypotension,1.158852639401009,1.0,0.0,0,0.8112
atenolol,EFO_0005531,urticaria,1.1383128268604843,1.0,0.0,0,0.7968
atenolol,MP_0001914,hemorrhage,1.1259933666840871,1.0,0.0,0,0.7882
atenolol,EFO_0004269,cardiac arrhythmia,1.1193095523820762,1.0,0.0,0,0.7835
atenolol,MONDO_0005148,type 2 diabetes mellitus,1.1107552613732945,1.0,0.0,0,0.7775
atenolol,HP_0001742,Nasal congestion,1.0871203366741324,1.0,0.0,0,0.761
atenolol,EFO_0000400,diabetes mellitus,1.078578704060288,1.0,0.0,0,0.755
atenolol,MONDO_0021661,coronary atherosclerosis,1.0739203502986738,1.0,0.0,0,0.7517
