ensembl_gene_id,reactome_stid,reactome_name
ENSG00000073756,R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
ENSG00000095303,R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
ENSG00000073756,R-HSA-6783783,Interleukin-10 signaling
ENSG00000095303,R-HSA-6783783,Interleukin-10 signaling
ENSG00000073756,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
ENSG00000095303,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
ENSG00000073756,R-HSA-9018677,Biosynthesis of DHA-derived SPMs
ENSG00000095303,R-HSA-9018677,Biosynthesis of DHA-derived SPMs
ENSG00000073756,R-HSA-9018679,Biosynthesis of EPA-derived SPMs
ENSG00000095303,R-HSA-9018679,Biosynthesis of EPA-derived SPMs
ENSG00000073756,R-HSA-9025094,Biosynthesis of DPAn-3 SPMs
ENSG00000095303,R-HSA-9025094,Biosynthesis of DPAn-3 SPMs
ENSG00000073756,R-HSA-9027604,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives
ENSG00000095303,R-HSA-9027604,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives
ENSG00000073756,R-HSA-140180,COX reactions
ENSG00000095303,R-HSA-140180,COX reactions
ENSG00000188229,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000101162,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000198033,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000127824,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000258947,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000167552,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000104833,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000261456,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000227739,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000229684,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000224156,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000232421,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000196230,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000235067,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000183311,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000232575,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000123416,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000167553,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000152086,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000137267,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000137285,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000176014,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000188229,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000101162,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000198033,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000127824,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000258947,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000167552,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000104833,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000261456,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000227739,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000229684,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000224156,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000232421,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000196230,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000235067,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000183311,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000232575,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000123416,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000167553,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000152086,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000137267,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000137285,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000176014,R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000188229,R-HSA-190861,Gap junction assembly
ENSG00000101162,R-HSA-190861,Gap junction assembly
ENSG00000198033,R-HSA-190861,Gap junction assembly
ENSG00000127824,R-HSA-190861,Gap junction assembly
ENSG00000258947,R-HSA-190861,Gap junction assembly
ENSG00000167552,R-HSA-190861,Gap junction assembly
ENSG00000104833,R-HSA-190861,Gap junction assembly
ENSG00000261456,R-HSA-190861,Gap junction assembly
ENSG00000227739,R-HSA-190861,Gap junction assembly
ENSG00000229684,R-HSA-190861,Gap junction assembly
ENSG00000224156,R-HSA-190861,Gap junction assembly
ENSG00000232421,R-HSA-190861,Gap junction assembly
ENSG00000196230,R-HSA-190861,Gap junction assembly
ENSG00000235067,R-HSA-190861,Gap junction assembly
ENSG00000183311,R-HSA-190861,Gap junction assembly
ENSG00000232575,R-HSA-190861,Gap junction assembly
ENSG00000123416,R-HSA-190861,Gap junction assembly
ENSG00000167553,R-HSA-190861,Gap junction assembly
ENSG00000152086,R-HSA-190861,Gap junction assembly
ENSG00000137267,R-HSA-190861,Gap junction assembly
ENSG00000137285,R-HSA-190861,Gap junction assembly
ENSG00000176014,R-HSA-190861,Gap junction assembly
ENSG00000188229,R-HSA-2132295,MHC class II antigen presentation
ENSG00000101162,R-HSA-2132295,MHC class II antigen presentation
ENSG00000198033,R-HSA-2132295,MHC class II antigen presentation
ENSG00000127824,R-HSA-2132295,MHC class II antigen presentation
ENSG00000258947,R-HSA-2132295,MHC class II antigen presentation
ENSG00000167552,R-HSA-2132295,MHC class II antigen presentation
ENSG00000104833,R-HSA-2132295,MHC class II antigen presentation
ENSG00000261456,R-HSA-2132295,MHC class II antigen presentation
ENSG00000227739,R-HSA-2132295,MHC class II antigen presentation
ENSG00000229684,R-HSA-2132295,MHC class II antigen presentation
ENSG00000224156,R-HSA-2132295,MHC class II antigen presentation
ENSG00000232421,R-HSA-2132295,MHC class II antigen presentation
ENSG00000196230,R-HSA-2132295,MHC class II antigen presentation
ENSG00000235067,R-HSA-2132295,MHC class II antigen presentation
ENSG00000183311,R-HSA-2132295,MHC class II antigen presentation
ENSG00000232575,R-HSA-2132295,MHC class II antigen presentation
ENSG00000123416,R-HSA-2132295,MHC class II antigen presentation
ENSG00000167553,R-HSA-2132295,MHC class II antigen presentation
ENSG00000152086,R-HSA-2132295,MHC class II antigen presentation
ENSG00000137267,R-HSA-2132295,MHC class II antigen presentation
ENSG00000137285,R-HSA-2132295,MHC class II antigen presentation
ENSG00000176014,R-HSA-2132295,MHC class II antigen presentation
ENSG00000188229,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000101162,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000198033,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000127824,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000258947,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000167552,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000104833,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000261456,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000227739,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000229684,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000224156,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000232421,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000196230,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000235067,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000183311,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000232575,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000123416,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000167553,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000152086,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000137267,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000137285,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000176014,R-HSA-2467813,Separation of Sister Chromatids
ENSG00000188229,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000101162,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000198033,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000127824,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000258947,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000167552,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000104833,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000261456,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000227739,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000229684,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000224156,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000232421,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000196230,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000235067,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000183311,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000232575,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000123416,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000167553,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000152086,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000137267,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000137285,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000176014,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000188229,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000101162,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000198033,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000127824,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000258947,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000167552,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000104833,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000261456,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000227739,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000229684,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000224156,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000232421,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000196230,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000235067,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000183311,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000232575,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000123416,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000167553,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000152086,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000137267,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000137285,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000176014,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
ENSG00000188229,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000101162,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000198033,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000127824,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000258947,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000167552,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000104833,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000261456,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000227739,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000229684,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000224156,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000232421,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000196230,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000235067,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000183311,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000232575,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000123416,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000167553,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000152086,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000137267,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000137285,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000176014,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000188229,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000101162,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000198033,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000127824,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000258947,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000167552,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000104833,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000261456,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000227739,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000229684,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000224156,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000232421,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000196230,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000235067,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000183311,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000232575,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000123416,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000167553,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000152086,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000137267,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000137285,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000176014,R-HSA-380259,Loss of Nlp from mitotic centrosomes
ENSG00000188229,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000101162,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000198033,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000127824,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000258947,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000167552,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000104833,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000261456,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000227739,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000229684,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000224156,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000232421,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000196230,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000235067,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000183311,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000232575,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000123416,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000167553,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000152086,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000137267,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000137285,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000176014,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes
ENSG00000188229,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000101162,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000198033,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000127824,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000258947,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000167552,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000104833,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000261456,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000227739,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000229684,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000224156,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000232421,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000196230,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000235067,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000183311,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000232575,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000123416,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000167553,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000152086,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000137267,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000137285,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000176014,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome
ENSG00000188229,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000101162,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000198033,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000127824,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000258947,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000167552,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000104833,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000261456,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000227739,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000229684,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000224156,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000232421,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000196230,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000235067,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000183311,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000232575,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000123416,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
